"source_id","entity","topic","url","document_date","accessed_utc","source_kind","observation","limits"
"GENESIS_ALLOCATION","IOHK; EMURGO; Cardano Foundation","historical founding allocations","https://cardano.org/genesis/","","2026-09-05T04:26:20Z","direct_official_page","The official genesis page assigns 2,463,071,701 ADA to IOHK, 2,074,165,644 ADA to EMURGO, and 648,176,761 ADA to Cardano Foundation Switzerland. It reports 31,112,484,646 ADA available at launch.","Published historical integer allocations; not present balances or continuing ownership. The stated 20% compares founding allocations with public-sale allocation, not total launch supply."
"GENESIS_SALE_REVIEW","Cardano Foundation","published sale review and limitations","https://cardano.org/genesis/","","2026-09-05T04:26:20Z","direct_official_page","CF reports sales reconciliation within 0.01%, early distributor purchasing and KYC onboarding failures, subsequent suspensions and remediation, and improved later-tranche KYC adherence.","This summarizes CF's published review, not an independent re-audit of underlying sale records. KYC findings alone do not identify present beneficiaries."
"YOROI_DELEGATION","EMURGO; Yoroi","wallet interface and DRep delegation","https://www.emurgo.io/press-news/delegating-your-vote-just-got-easier-one-click-yoroi-drep-delegation-is-here/","2025-04-17","2026-09-05T04:26:20Z","direct_official_page","EMURGO's instructions place delegation to Yoroi as the top governance button in desktop and mobile wallets. Users sign to confirm; voting power is delegated while funds remain in their wallets.","Documents the interface and consent mechanism at publication. Does not measure how much voting power the interface caused or establish ownership of delegated ADA."
"SECOND_FI_TRANSITION","EMURGO; Yoroi; SecondFi","disclosed product relationship","https://www.emurgo.io/press-news/yoroi-wallet-is-evolving-into-secondfi-what-you-need-to-know/","2026-04-22","2026-09-05T04:26:20Z","direct_official_page","EMURGO announced Yoroi Wallet would become SecondFi, existing installations could update automatically, and wallet access would carry over. It said Yoroi would continue operating as a DRep with the same ID.","Establishes the publicly disclosed product relationship and transition promise. The historical safety assurances predate the incident."
"SECOND_FI_INCIDENT_HISTORY","EMURGO; SecondFi","historical stolen and rescued totals","https://kb.secondfi.io/en/article/security-incident-update-dxv72a/","2026-07-22","2026-09-05T04:26:20Z","official_statement_indexed","Indexed historical official text reports approximately 16.1 million ADA stolen from 374 wallets during June 21-23, separately from approximately 129 million ADA secured through emergency rescue. It describes recovery work and an engaged external accounting firm.","Company-reported figures; not independently recalculated here. Search index retains June-August timeline, while live September 4 page omits it. Rescue custody and promised audits do not prove restitution."
"SECOND_FI_INCIDENT_CURRENT","SecondFi","current incident page availability","https://kb.secondfi.io/en/article/security-incident-update-dxv72a/","2026-09-04","2026-09-05T04:26:20Z","direct_official_page","The live incident page contains general recovery guidance and links to official update channels. It no longer displays the detailed historical timeline retained by search-indexed versions.","Observed page difference does not establish why content changed. Use the indexed-history row for attributed historical totals and the latest FAQ for recovery status."
"SECOND_FI_SHUTDOWN","EMURGO; SecondFi","announced cessation","https://kb.secondfi.io/en/article/secondfi-is-ceasing-operations-1xp4wb9/","2026-08-28","2026-09-05T04:26:20Z","direct_official_page","SecondFi says it is ceasing operations because of the June 21-23 incident. It distinguishes a migration tool for remaining wallet assets from the separate affected-asset recovery process.","Operator notice. Migration availability does not establish return of stolen or rescued assets; planned timing is not completed delivery."
"SECOND_FI_RECOVERY_FAQ","SecondFi","dated recovery status","https://kb.secondfi.io/en/article/secondfiyoroi-wallet-migration-faq-1nws9lo/","2026-09-03","2026-09-05T04:26:20Z","direct_official_page","The FAQ still expects a user-initiated recovery portal in early September, subject to security-audit progress. It says wallets emptied by the incident follow recovery rather than remaining-asset migration.","Snapshot at access time. Does not establish completed restitution, final losses, attacker identity, or current custody reconciliation."
"SECOND_FI_PROTOCOL_SCOPE","Intersect; SecondFi","application versus protocol","https://www.intersectmbo.org/news/intersect-weekly-update-117-june-26-2026","2026-06-26","2026-09-05T04:26:20Z","direct_official_page","Intersect describes an application-level SecondFi incident and says available information showed normal Cardano operation with no identified consensus, ledger-integrity, or protocol issue. It assigns application remediation to SecondFi and EMURGO.","Contemporaneous institutional assessment; not a complete technical audit. Application failure should not automatically be attributed to Cardano consensus."
"CF_BOARD","Cardano Foundation","institutional accountability","https://forum.cardano.org/t/frequently-asked-questions-about-the-cardano-foundation/140884","2024-12-16","2026-09-05T04:26:20Z","direct_official_page","CF says its Swiss foundation model does not provide for community election of its board. It also describes its administration of Cardano trademarks and major community platforms.","Use the official opening post, not subsequent forum comments. Describes institutional structure; does not establish directors' motives or improper use of assets."
"CF_DELEGATION_2026","Cardano Foundation","dated community and self-delegation","https://cardanofoundation.org/blog/roadmap-governance-update","2026-01-20","2026-09-05T04:26:20Z","direct_official_page","CF announced 360 million ADA delegated to community DReps and approximately 171 million self-delegated. It said recipients would receive no voting directions and that disagreement was accepted.","Historical announcement, not current delegation. Selection and redelegation authority are distinct from proof that recipients follow instructions; verify current certificates and voting behavior."
"CF_ACCOUNTS_2025","Cardano Foundation","audited financial snapshot","https://cardanofoundation.org/activity-financial-insights-report-2025.pdf","2026-03-25","2026-09-05T04:26:20Z","direct_official_pdf","The 2025 accounts report 561,357,269 ADA and 656 BTC at December 31. Grant Thornton's March 25, 2026 opinion says the financial statements comply with Swiss law and the foundation deed.","Printed pages 28-32. Dated statutory foundation accounts, not current holdings. Notes say first consolidated 2025 statements will be prepared. Audit assurance does not evaluate every procurement or governance choice."
"CF_CATALYST_SELF_VOTE","Cardano Foundation","vote concerning own appointment","https://cardanofoundation.org/blog/april-2026-activities","2026-05-07","2026-09-05T04:26:20Z","direct_official_page","CF reports voting Yes to approve itself as Catalyst's new managing entity, citing continuity for Funds 10-14 and support for returning Funds 15-16.","Original self-disclosure documents overlapping roles. It does not alone establish a rule violation, improper appointment, or misuse of Catalyst assets."
"CF_SUMMIT_2026","Cardano Foundation; EMURGO","funding request rejected","https://cardanofoundation.org/blog/may-2026-activities","2026-06-10","2026-09-05T04:26:20Z","direct_official_page","CF reports its revised Summit 2026 treasury request failed with 65.21% against a required 67%, and says it accepted the result. The update separately reports EMURGO's TOKEN2049 proposal passed.","Published outcome; independently reproduce proposal-specific on-chain outcomes before attributing decisive power. The failed request is evidence that institutional influence has limits."
"CF_RETURNS_2026","Cardano Foundation; Catalyst; Intersect","reported treasury returns","https://cardanofoundation.org/blog/july-2026-activities","2026-08-07","2026-09-05T04:26:20Z","direct_official_page","CF reports 19,498,234 ADA returned for Catalyst Fund 15, with 501,766 retained for reviewers and moderators, plus 21 million ADA returned through cancellation of the Fund 16/RPGF contract.","Institutional disclosure; transaction reconciliation remains separate. These are project-fund movements, not necessarily transfers of CF-owned assets."
"IO_BLOCKPQR","Input Output; BlockPQR; Midnight","engineering transition and overlapping leadership","https://www.iog.io/news/cardano-core-protocol-work-continues-at-blockpqr","2026-08-26","2026-09-05T04:26:20Z","direct_official_page","IO says core protocol engineers move to BlockPQR while IO retains delivery responsibility and Intersect gates milestones. It identifies founder Leonard Hegarty as a former IO delivery director and current Midnight blockchain director.","Personnel continuity and disclosed role overlap do not establish hidden ownership, improper billing, or independence of procurement and acceptance decisions."
"IO_ICAN","Input Output; ICAN Group","engineering team transition","https://www.iog.io/news/cardano-s-engineering-decentralization-extends-to-ican-group","2026-08-06","2026-09-05T04:26:20Z","direct_official_page","IO announced four engineering functions moving to ICAN with the same teams and leader. It presents specialization, continuity, and Intersect coordination as reasons for the transition.","Company description. Organizational separation alone does not prove independent ownership, budgets, competitive selection, or reduced concentration."
"IO_SHIELDED_SPINOUT","Input Output; Shielded Technologies; Midnight","disclosed corporate relationship","https://www.iog.io/news/input-output-partners-with-brave-to-integrate-cardano-into-brave-wallet","2025-05-12","2026-09-05T04:26:20Z","direct_official_page","IO identifies Shielded Technologies, developer of Midnight, as an IO spinout within its Brave partnership announcement.","Disclosed relationship at publication, not a beneficial-ownership register or a complete description of financing and intercompany agreements."
"IO_MIDNIGHT","Midnight; Shielded Technologies","separate network economy","https://midnight.network/faq","","2026-09-05T04:26:20Z","direct_official_page","The FAQ describes Midnight as a separate layer 1 without Cardano transaction rollups, with NIGHT-generated DUST fees. It describes launch governance and block production as permissioned, with up to 13 trusted nodes and later decentralization planned.","Current documentation combines launch descriptions and future plans; not a measured current validator census. Cardano synergies are described, but proportional ADA value capture requires measurement."
